name,price,ncomments,breakfast,cancel,rooms,distance,score_review,stars
CHAO Sanlitun Beijing,228,622,TRUE,FALSE,FALSE,5,9,5
Guanganmen Grand Metropark Hotel Beijing,90,156,FALSE,FALSE,FALSE,4.2,8.7,4
Holiday Inn Express Beijing Huacai,84,402,TRUE,FALSE,TRUE,12,8.2,4
Inner Mongolia Grand Hotel,82,1171,FALSE,FALSE,FALSE,2.6,8.4,4
Nordic Style Apartment Near Wukesong Stadium And 301 Hospital,178,0,FALSE,FALSE,TRUE,11,NA,0
Hotel Kapok - Forbidden City,86,676,TRUE,FALSE,FALSE,1.2,8.2,4
Stey 798 Serviced Apartment Boutique Hotel,163,9,FALSE,FALSE,FALSE,11,9.4,5
Beijing Post Hotel,67,48,FALSE,FALSE,FALSE,11,7.2,3
Beijing Marriott Hotel Northeast,170,86,FALSE,FALSE,FALSE,8,8.6,5
The Presidential Beijing,125,55,FALSE,FALSE,TRUE,3.8,7.6,5
Star World International Hotel Beijing Sanlitun,86,271,FALSE,FALSE,FALSE,5,8,4
Xingshe Hotel (Temple of Heaven),51,3,FALSE,FALSE,FALSE,3.1,8.3,4
Beijing Shangchao Hotel,64,112,FALSE,FALSE,TRUE,7,8.2,0
Holiday Inn Express Beijing Minzuyuan,77,550,TRUE,FALSE,FALSE,7,7.8,4
Capital Hotel Beijing,114,439,FALSE,FALSE,FALSE,2.2,8.4,5
Mercure Beijing Downtown,81,181,FALSE,FALSE,FALSE,7,7.6,4
ibis Beijing Tiantandongmen Metro Station Hotel,51,329,FALSE,FALSE,FALSE,4.8,8.1,3
Ascott Raffles City Beijing,183,29,TRUE,FALSE,FALSE,4.5,8.6,5
Vision Hotel,94,64,FALSE,FALSE,FALSE,7,8.5,5
Holiday Inn Express Beijing Shijingshan Lakeview,72,6,TRUE,FALSE,FALSE,20,9,3
Holiday Inn Temple Of Heaven Beijing,87,98,FALSE,FALSE,FALSE,6,7.8,4
Cours Et Pavillons,350,37,TRUE,FALSE,TRUE,2.7,9.3,5
Wanda Realm Beijing,84,84,FALSE,FALSE,FALSE,14,8,5
7Days Premium Beijing Tiananmen Square Branch,42,0,FALSE,FALSE,FALSE,1.6,NA,0
Jinjiang Inn Beijing Zhongguancun,49,128,FALSE,FALSE,FALSE,10,7.6,3
Beijing Yanshan Hotel,84,157,FALSE,FALSE,TRUE,8,8.1,4
West Hotel Dashilan Branch,29,30,FALSE,FALSE,TRUE,2.2,7.1,3
Beijing Baifuyi Hotel,87,63,FALSE,FALSE,FALSE,5,8.3,5
Jinglun Hotel Beijing,67,207,FALSE,FALSE,FALSE,5,7.7,4
Beijing Qianyuan Hotel,89,433,FALSE,FALSE,FALSE,4.2,8.7,5
Livefortuna Hotel,74,4,FALSE,FALSE,FALSE,4,10,4
Gracie Art Hotel,254,98,TRUE,FALSE,TRUE,12,8.4,5
Ariva Beijing West Hotel,152,117,TRUE,FALSE,TRUE,10,7.4,4
Zhe·Yi Boutique Guesthouse,46,0,FALSE,FALSE,FALSE,4.7,NA,0
Aojia Art Gallery Apartment 901,48,0,FALSE,FALSE,FALSE,5,NA,0
Holiday Inn Express Beijing Wangjing,81,164,TRUE,FALSE,FALSE,11,7.4,3
Artyzen Habitat Dongzhimen Beijing,195,240,FALSE,FALSE,FALSE,5,8.7,5
Sheraton Beijing Lize Hotel,124,4,FALSE,FALSE,FALSE,8,9.5,4
<U+300C>First Love<U+300D>Apartment near Sanlitun and Guomao,95,0,FALSE,FALSE,TRUE,6,NA,0
<U+5317><U+4EAC><U+82B1><U+95F4><U+5802><U+540E><U+6D77><U+9152><U+5E97> VUE Hotel Beijing,230,34,FALSE,FALSE,TRUE,3,8.3,5
Jianguo Qianmen Beijing,63,188,FALSE,FALSE,TRUE,3.1,7.9,4
Yibushe Guesthouse,113,35,FALSE,FALSE,TRUE,2.7,8.8,0
Holiday Inn Beijing Shijingshan Parkview,65,32,FALSE,FALSE,FALSE,15,6.4,4
Qianmen Courtyard Hotel,57,998,FALSE,FALSE,FALSE,2.4,7.2,3
<U+3010><U+5F18><U+820D><U+3011><U+5317><U+56DB><U+73AF><U+7CBE><U+88C5><U+4FEE><U+72EC><U+7ACB><U+623F><U+6E90><U+6C11><U+5BBF>,46,0,TRUE,FALSE,FALSE,8,NA,0
Comfort Inn & Suites Beijing,94,34,FALSE,FALSE,TRUE,6,6.6,4
Nostalgia Hotel Beijing Confucius Temple,74,323,FALSE,FALSE,TRUE,3.8,8.8,3
Xingshe Alley Courtyard Hotel Beijing Wangfujing Forbidden City Branch,71,404,FALSE,FALSE,TRUE,3,8.3,4
Miss Peregrine's Castle In Wudaokou,32,52,FALSE,FALSE,TRUE,9,8.2,0
United Days Boutique Business Hotel,197,17,TRUE,FALSE,TRUE,5,6.5,4
James Joyce Coffetel Beijing Gulou street  Nanluoguxiang,82,39,FALSE,FALSE,FALSE,3.5,7.8,4
Peking Yard Boutique Hotel,135,88,TRUE,FALSE,TRUE,2.9,7.7,0
Jinjiang Inn - Beijing Changchun Street,42,63,FALSE,FALSE,FALSE,3.3,7.4,2
Beijing Huihui Home ApartHotel Chang'an Inn Branch,47,43,FALSE,FALSE,TRUE,4.7,5.1,0
Mercure Beijing Wanshang,59,72,FALSE,FALSE,FALSE,14,7.9,4
Beijing Jiadu Resort,164,0,TRUE,FALSE,FALSE,54,NA,4
Beijing Guizhou Hotel,89,217,FALSE,FALSE,TRUE,6,8.2,4
Holiday Inn Express Beijing Shijingshan Parkview,72,28,TRUE,FALSE,FALSE,20,8.3,3
Beijing Bingding Holiday Villa,254,7,TRUE,FALSE,TRUE,80,9,0
7 Days Premium Beijing Tiananmen Branch,51,0,FALSE,FALSE,FALSE,0.5,NA,0
7Days Inn Beijing Huaxiangqiao New Tiantan Hospital Branch,24,0,FALSE,FALSE,FALSE,9,NA,0
Hilton Beijing Daxing,147,0,FALSE,FALSE,FALSE,17,NA,5
Jiu Du Hui Serviced Apartment,73,58,FALSE,FALSE,TRUE,8,7.9,4
Ruicheng Hotel,51,54,FALSE,FALSE,FALSE,9,7.8,3
Beijing Xinxiang Yayuan Apartment (Sanlitun),124,56,FALSE,FALSE,TRUE,5,8,0
Beijing Xihua Hotel,95,103,FALSE,FALSE,FALSE,11,6.9,4
Aloft Beijing  Haidian,82,26,FALSE,FALSE,FALSE,10,7.3,5
Jihouse Hotel,91,111,TRUE,FALSE,TRUE,3.6,9,4
7Days Inn Beijing Liujiayao Station,25,56,FALSE,FALSE,FALSE,6,6.4,2
Lavande Hotel Beijing Tiananmen Wangfujing Street,72,0,FALSE,FALSE,TRUE,2.5,NA,3
7Days Premium Beijing Zhongguancun Renmin University Suzhou Street Subway Station Branch,49,0,FALSE,FALSE,FALSE,9,NA,0
Nostalgia Hotel Temple of Heaven,37,287,FALSE,FALSE,TRUE,5,8.3,3
The North Garden Hotel Beijing,67,49,FALSE,FALSE,FALSE,1.9,6,4
Beijing Free Town Apartment Hotel,75,12,FALSE,FALSE,TRUE,6,6.6,3
Beijing Zhanghe Hotel,39,546,FALSE,FALSE,TRUE,4.5,7.3,3
Lavande Hotel Beijing Changping Government Street,41,0,FALSE,FALSE,TRUE,36,NA,0
Metropark Lido Hotel Beijing,130,302,FALSE,FALSE,TRUE,10,7.7,4
JI Hotel Beijing Guomao,68,15,FALSE,FALSE,FALSE,6,7.1,4
Tian'an Men Beijing Station Sunshine Apartment,54,0,FALSE,FALSE,FALSE,2.9,NA,0
JI Hotel Chaoyangmen Beijing,67,35,FALSE,FALSE,TRUE,3.4,8,4
7Days Premium Beijing International Trade Jinsong Subway Station Branch,37,0,FALSE,FALSE,FALSE,7,NA,0
Subway home for 8-10 People,160,0,FALSE,FALSE,TRUE,17,NA,0
GreenTree Inn Beijing East Yizhuang District Second Kechuang Street Express Hotel,24,4,FALSE,FALSE,TRUE,16,7.5,3
Hanting Express Beijing Xizhimen New,47,19,FALSE,FALSE,FALSE,4.5,7.4,2
Beijing Lido Place Apartment,127,82,FALSE,FALSE,TRUE,10,8.1,4
Beijing Hyde Courtyard Hotel,39,815,FALSE,FALSE,TRUE,2.4,7.1,3
Celebrity International Grand Hotel,136,45,FALSE,FALSE,FALSE,9,7.2,5
Oakwood Residence Damei Beijing,217,19,TRUE,FALSE,TRUE,11,9,5
JI Hotel Dongzhimen Beijing,52,99,FALSE,FALSE,FALSE,5,7.3,4
Xinhai Jin Jiang Hotel,91,18,FALSE,FALSE,FALSE,3,8,5
Great Wall Four Seasons Hotel,140,0,FALSE,FALSE,TRUE,110,NA,5
7Days Premium Beijing Madianqiao North Branch,48,0,FALSE,FALSE,FALSE,6,NA,0
Jinjiang Inn - Beijing Jiuxianqiao,49,23,FALSE,FALSE,TRUE,11,7.8,2
Beijing Rong Courtyard Boutique Hotel,80,89,FALSE,FALSE,TRUE,2.5,7.9,3
Yitel (Beijing Head Quarter),68,0,FALSE,FALSE,TRUE,13,NA,0
Lavande Hotel Beijing Sihui,58,0,FALSE,FALSE,TRUE,10,NA,3
Jinjiang Inn - Beijing Anzhenli,53,19,FALSE,FALSE,FALSE,6,7.6,2
GreenTree Inn Beijing Haidian District Xueqing Road Business Hotel,48,3,FALSE,FALSE,FALSE,12,6.9,3
Beijing Yanqing Shiyuan Renjia No1 Hotel,75,0,FALSE,FALSE,FALSE,70,NA,4
Beijing XinHuaYuan Hotel,72,351,FALSE,FALSE,TRUE,2.6,7.4,3
Jinjiang Inn Beijing Qinghua East Gate,37,42,FALSE,FALSE,FALSE,11,6.7,3
Michael's House Beijing,82,203,FALSE,FALSE,TRUE,4.8,8.9,4
